WEEK_START,VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,TWO_SIGMA_UPPER,TWO_SIGMA_LOWER,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,SIGNAL_RULE_4,MR_SIGNAL,ANY_SIGNAL
2024-07-08,275,10,315.75,25.10,382.52,248.98,82.00,360.18,271.32,false,false,false,false,false,false
2024-07-15,268,7,314.45,25.00,380.95,247.95,81.68,358.70,270.20,false,false,true,false,false,true
2024-07-22,245,23,311.55,24.10,375.66,247.44,78.73,354.21,268.89,true,false,true,false,false,true
2024-07-29,269,24,305.50,23.25,367.35,243.66,75.96,346.65,264.35,false,false,false,false,false,false
2024-08-05,305,36,303.25,21.85,361.37,245.13,71.38,341.92,264.58,false,false,false,false,false,false
2024-08-12,283,22,303.35,23.10,364.80,241.90,75.47,344.24,262.46,false,false,false,false,false,false
2024-08-19,242,41,303.55,23.00,364.73,242.37,75.14,344.26,262.84,true,false,true,false,false,true
2024-08-26,215,27,303.70,23.05,365.01,242.39,75.30,344.50,262.90,true,false,true,false,false,true
2024-09-02,308,93,300.95,22.85,361.73,240.17,74.65,341.39,260.51,false,false,false,false,true,true
2024-09-09,278,30,300.05,24.70,365.75,234.35,80.69,343.77,256.33,false,false,false,false,false,false
2024-09-16,325,47,296.20,24.75,362.04,230.37,80.86,340.01,252.39,false,false,false,false,false,false
2024-09-23,254,71,295.05,26.75,366.21,223.90,87.39,342.40,247.70,false,false,false,false,false,false
2024-09-30,265,11,290.60,30.05,370.53,210.67,98.17,343.79,237.41,false,false,false,false,false,false
2024-10-07,275,10,285.30,29.20,362.97,207.63,95.40,336.98,233.62,false,false,false,false,false,false
2024-10-14,272,3,282.45,27.75,356.27,208.64,90.66,331.57,233.33,false,false,false,false,false,false
2024-10-21,311,39,278.80,27.25,351.29,206.32,89.03,327.03,230.57,false,false,false,false,false,false
2024-10-28,220,91,278.05,28.25,353.20,202.91,92.29,328.05,228.05,false,false,false,false,false,false
2024-11-04,234,14,272.75,32.80,360.00,185.50,107.16,330.81,214.69,false,false,false,false,false,false
2024-11-11,302,68,269.95,31.70,354.27,185.63,103.56,326.06,213.84,false,false,false,false,false,false
2024-11-18,316,14,271.55,34.10,362.26,180.84,111.40,331.91,211.19,false,false,false,false,false,false
2024-11-25,324,8,273.10,34.05,363.67,182.53,111.24,333.37,212.83,false,false,false,false,false,false
2024-12-02,294,30,275.55,33.95,365.86,185.24,110.91,335.64,215.46,false,false,false,false,false,false
2024-12-09,231,63,276.85,35.10,370.22,183.48,114.67,338.98,214.72,false,true,false,false,false,true
2024-12-16,172,59,276.15,37.10,374.84,177.46,121.21,341.82,210.48,true,true,true,false,false,true
2024-12-23,158,14,271.30,38.85,374.64,167.96,126.92,340.06,202.54,true,true,true,false,false,true
2024-12-30,186,28,263.95,37.75,364.37,163.54,123.33,330.77,197.13,false,true,true,false,false,true
2025-01-06,241,55,259.10,38.05,360.31,157.89,124.31,326.45,191.75,false,true,false,false,false,true
2025-01-13,224,17,259.05,38.75,362.13,155.98,126.60,327.64,190.46,false,true,false,false,false,true
2025-01-20,224,0,259.50,38.25,361.25,157.76,124.96,327.20,191.80,false,true,false,false,false,true
2025-01-27,199,25,255.30,33.60,344.68,165.92,109.77,314.77,195.83,false,true,false,false,false,true
2025-02-03,217,18,251.35,33.35,340.06,162.64,108.95,310.38,192.32,false,true,false,false,false,true
2025-02-10,195,22,245.95,31.90,330.80,161.10,104.22,302.41,189.49,false,true,false,false,false,true
2025-02-17,200,5,243.00,29.45,321.34,164.66,96.21,295.13,190.87,false,true,false,false,false,true
2025-02-24,233,33,239.75,29.15,317.29,162.21,95.23,291.35,188.15,false,true,false,false,false,true
2025-03-03,183,50,237.65,30.30,318.25,157.05,98.99,291.28,184.02,false,true,false,false,false,true
2025-03-10,213,30,233.20,32.65,320.05,146.35,106.67,290.99,175.41,false,true,false,false,false,true
2025-03-17,234,21,228.30,32.20,313.95,142.65,105.20,285.29,171.31,false,false,false,false,false,false
2025-03-24,222,12,229.00,28.70,305.34,152.66,93.76,279.80,178.20,false,false,false,false,false,false
2025-03-31,230,8,228.40,28.60,304.48,152.32,93.44,279.02,177.78,false,false,false,false,false,false
2025-04-07,252,22,224.80,25.60,292.90,156.70,83.64,270.11,179.49,false,false,false,false,false,false
2025-04-14,207,45,221.60,26.00,290.76,152.44,84.94,267.62,175.58,false,false,false,false,false,false
2025-04-21,229,22,215.75,27.85,289.83,141.67,90.99,265.04,166.46,false,false,false,false,false,false
2025-04-28,215,14,212.50,27.45,285.52,139.48,89.68,261.09,163.91,false,false,false,false,false,false
2025-05-05,223,8,211.70,25.00,278.20,145.20,81.68,255.95,167.45,false,false,false,false,false,false
2025-05-12,183,40,214.25,22.45,273.97,154.53,73.34,253.99,174.51,false,true,false,false,false,true
2025-05-19,192,9,215.50,23.75,278.68,152.33,77.59,257.54,173.46,false,true,false,false,false,true
2025-05-26,201,9,215.80,22.80,276.45,155.15,74.49,256.16,175.44,false,true,false,false,false,true
2025-06-02,169,32,213.80,20.50,268.33,159.27,66.97,250.09,177.52,false,true,true,false,false,true
2025-06-09,172,3,211.05,21.25,267.58,154.53,69.42,248.66,173.44,false,true,true,false,false,true
2025-06-16,158,14,208.45,21.40,265.37,151.53,69.91,246.33,170.57,false,true,true,false,false,true
2025-06-23,165,7,206.40,20.85,261.86,150.94,68.12,243.30,169.50,false,true,true,false,false,true
2025-06-30,146,19,203.80,20.30,257.80,149.80,66.32,239.73,167.87,true,true,true,false,false,true
2025-07-07,149,3,201.35,20.15,254.95,147.75,65.83,237.02,165.68,false,true,true,false,false,true
2025-07-14,163,14,198.80,20.05,252.13,145.47,65.50,234.29,163.31,false,true,true,false,false,true
2025-07-21,147,16,195.30,19.10,246.11,144.49,62.40,229.11,161.49,false,true,true,false,false,true
2025-07-28,144,3,193.50,17.40,239.78,147.22,56.85,224.30,162.70,true,true,true,false,false,true
2025-08-04,127,17,190.05,16.05,232.74,147.36,52.44,218.46,161.64,true,true,true,false,false,true
2025-08-11,125,2,184.70,15.85,226.86,142.54,51.78,212.75,156.65,true,true,true,false,false,true
2025-08-18,142,17,179.85,15.35,220.68,139.02,50.15,207.02,152.68,false,true,true,false,false,true
2025-08-25,145,3,175.45,15.80,217.48,133.42,51.62,203.42,147.48,false,true,true,false,false,true
2025-09-01,163,18,170.10,14.85,209.60,130.60,48.51,196.38,143.82,false,true,false,false,false,true
2025-09-08,177,14,167.90,13.50,203.81,131.99,44.10,191.80,144.01,false,false,false,false,false,false
2025-09-15,142,35,165.30,13.10,200.15,130.45,42.80,188.49,142.11,false,true,true,false,false,true
2025-09-22,136,6,161.65,14.15,199.29,124.01,46.23,186.70,136.60,false,true,true,false,false,true
2025-09-29,133,3,157.30,14.05,194.67,119.93,45.90,182.17,132.43,false,true,false,false,false,true
2025-10-06,118,15,154.80,12.20,187.25,122.35,39.86,176.39,133.21,true,true,false,false,false,true
2025-10-13,139,21,151.10,12.50,184.35,117.85,40.84,173.23,128.98,false,true,false,false,false,true
2025-10-20,128,11,148.00,13.10,182.85,113.15,42.80,171.19,124.81,false,true,false,false,false,true
2025-10-27,113,15,145.95,12.05,178.00,113.90,39.37,167.28,124.62,true,true,false,false,false,true
2025-11-03,128,15,143.00,12.65,176.65,109.35,41.33,165.39,120.61,false,true,false,false,false,true
2025-11-10,129,1,141.50,12.70,175.28,107.72,41.49,163.98,119.02,false,true,false,false,false,true
2025-11-17,102,27,139.70,12.40,172.68,106.72,40.51,161.65,117.75,true,true,true,false,false,true
2025-11-24,110,8,137.50,12.80,171.55,103.45,41.82,160.16,114.84,false,true,true,false,false,true
2025-12-01,108,2,135.55,13.05,170.26,100.84,42.63,158.65,112.45,false,true,true,false,false,true
2025-12-08,101,7,132.80,12.45,165.92,99.68,40.67,154.84,110.76,false,true,true,false,false,true
2025-12-15,97,4,130.50,12.00,162.42,98.58,39.20,151.74,109.26,true,true,true,false,false,true
2025-12-22,72,25,128.15,12.05,160.20,96.10,39.37,149.48,106.82,true,true,true,false,false,true
2025-12-29,40,32,125.40,12.45,158.52,92.28,40.67,147.44,103.36,true,true,true,false,false,true
2026-01-05,74,34,121.15,13.95,158.26,84.04,45.57,145.84,96.46,true,true,true,false,false,true
2026-01-12,59,15,117.75,14.80,157.12,78.38,48.35,143.95,91.55,true,true,true,false,false,true
2026-01-19,68,9,113.45,15.40,154.41,72.49,50.31,140.71,86.19,true,true,true,false,false,true
2026-01-26,65,3,108.70,14.95,148.47,68.93,48.84,135.16,82.24,true,true,true,false,false,true
2026-02-02,76,11,103.10,14.40,141.40,64.80,47.04,128.59,77.61,false,true,true,false,false,true
2026-02-09,77,1,99.80,13.20,134.91,64.69,43.12,123.16,76.44,false,true,false,false,false,true
2026-02-16,71,6,96.85,12.95,131.30,62.40,42.31,119.77,73.93,false,true,false,false,false,true
2026-02-23,83,12,93.75,13.10,128.60,58.90,42.80,116.94,70.56,false,true,false,false,false,true
2026-03-02,79,4,92.00,12.95,126.45,57.55,42.31,114.92,69.08,false,true,false,false,false,true
2026-03-09,59,20,89.00,12.10,121.19,56.81,39.53,110.42,67.58,false,true,false,false,false,true
2026-03-16,84,25,85.55,12.55,118.93,52.17,41.00,107.76,63.34,false,true,false,false,false,true
2026-03-23,92,8,84.10,13.05,118.81,49.39,42.63,107.20,61.00,false,false,false,false,false,false
2026-03-30,102,10,82.30,12.70,116.08,48.52,41.49,104.78,59.82,false,false,false,false,false,false
