SESSION_DATE,CHANNEL,SESSIONS,VISITORS
2026-03-19,Referral,1026,706
2026-03-20,Affiliate,99,79
2026-03-20,Direct,12074,11748
2026-03-20,Email,250,188
2026-03-20,Organic Search,6301,5101
2026-03-20,Organic Social,131,117
2026-03-20,Paid Content,3,2
2026-03-20,Paid Search,1098,865
2026-03-20,Paid Social,71,70
2026-03-20,Referral,854,618
2026-03-21,Affiliate,76,69
2026-03-21,Direct,6778,6575
2026-03-21,Email,87,73
2026-03-21,Organic Search,3971,3490
2026-03-21,Organic Social,75,64
2026-03-21,Paid Content,4,3
2026-03-21,Paid Search,563,481
2026-03-21,Paid Social,39,39
2026-03-21,Referral,511,450
2026-03-22,Affiliate,78,65
2026-03-22,Direct,6242,6037
2026-03-22,Email,63,50
2026-03-22,Organic Search,4117,3574
2026-03-22,Organic Social,85,70
2026-03-22,Paid Content,5,3
2026-03-22,Paid Search,670,561
2026-03-22,Paid Social,21,21
2026-03-22,Referral,498,429
2026-03-23,Affiliate,129,97
2026-03-23,Direct,6701,6327
2026-03-23,Email,167,109
2026-03-23,Organic Search,7195,5677
2026-03-23,Organic Social,127,99
2026-03-23,Paid Content,4,2
2026-03-23,Paid Search,1495,1214
2026-03-23,Paid Social,64,63
2026-03-23,Referral,978,682
2026-03-24,Affiliate,133,109
2026-03-24,Direct,9481,9089
2026-03-24,Email,358,321
2026-03-24,Organic Search,7072,5549
2026-03-24,Organic Social,133,112
2026-03-24,Paid Content,5,2
2026-03-24,Paid Search,1646,1348
2026-03-24,Paid Social,82,78
2026-03-24,Referral,920,657
2026-03-25,Affiliate,117,88
2026-03-25,Direct,28258,27808
2026-03-25,Email,640,589
2026-03-25,Organic Search,7859,6124
2026-03-25,Organic Social,111,97
2026-03-25,Paid Content,5,4
2026-03-25,Paid Search,1778,1389
2026-03-25,Paid Social,130,124
2026-03-25,Referral,1079,754
2026-03-26,Affiliate,143,114
2026-03-26,Direct,9265,8838
2026-03-26,Email,943,875
2026-03-26,Organic Search,7963,6228
2026-03-26,Organic Social,89,77
2026-03-26,Paid Content,5,3
2026-03-26,Paid Search,1844,1493
2026-03-26,Paid Social,76,76
2026-03-26,Referral,1023,688
2026-03-27,Affiliate,121,100
2026-03-27,Direct,8368,7973
2026-03-27,Email,336,284
2026-03-27,Organic Search,7438,6040
2026-03-27,Organic Social,110,96
2026-03-27,Paid Content,7,3
2026-03-27,Paid Search,1568,1306
2026-03-27,Paid Social,84,79
2026-03-27,Referral,840,571
2026-03-28,Affiliate,74,68
2026-03-28,Direct,5376,5189
2026-03-28,Email,249,217
2026-03-28,Organic Search,4309,3787
2026-03-28,Organic Social,79,66
2026-03-28,Paid Search,1024,916
2026-03-28,Paid Social,68,66
2026-03-28,Referral,459,369
2026-03-29,Affiliate,86,75
2026-03-29,Direct,6271,6099
2026-03-29,Email,227,199
2026-03-29,Organic Search,4805,4237
2026-03-29,Organic Social,84,74
2026-03-29,Paid Content,4,4
2026-03-29,Paid Search,1209,1049
2026-03-29,Paid Social,79,78
2026-03-29,Referral,490,410
2026-03-30,Affiliate,118,101
2026-03-30,Direct,9759,9408
2026-03-30,Email,196,163
2026-03-30,Organic Search,8147,6859
2026-03-30,Organic Social,70,66
2026-03-30,Paid Content,7,5
2026-03-30,Paid Search,1916,1654
2026-03-30,Paid Social,95,94
2026-03-30,Referral,910,661
2026-03-31,Affiliate,121,91
2026-03-31,Direct,9401,8897
2026-03-31,Email,367,288
2026-03-31,Organic Search,9487,7589
2026-03-31,Organic Social,112,90
2026-03-31,Paid Content,12,9
2026-03-31,Paid Search,2245,1849
2026-03-31,Paid Social,79,72
2026-03-31,Referral,1048,716
