month_start,channel,sessions,subscribing_sessions,license_sessions,signed_up_visitors
2025-11-01,Other,8403,12,0,184
2025-11-01,Paid Search,58236,186,51,5769
2025-11-01,Paid Social,3159,0,0,14
2025-11-01,Referral,28647,35,12,846
2025-12-01,Direct,308513,102,23,3053
2025-12-01,Email,5920,15,2,18
2025-12-01,Organic Search,179608,324,56,5612
2025-12-01,Other,7920,11,1,168
2025-12-01,Paid Search,51071,171,40,4554
2025-12-01,Paid Social,1401,0,0,13
2025-12-01,Referral,23400,36,11,425
2026-01-01,Direct,269950,76,18,3064
2026-01-01,Email,5864,7,1,22
2026-01-01,Organic Search,172940,251,66,5987
2026-01-01,Other,7047,6,2,164
2026-01-01,Paid Search,44833,129,26,3180
2026-01-01,Paid Social,1170,0,0,21
2026-01-01,Referral,23990,29,12,396
2026-02-01,Direct,246037,78,23,2773
2026-02-01,Email,6001,12,3,16
2026-02-01,Organic Search,155168,233,62,5642
2026-02-01,Other,6499,9,0,133
2026-02-01,Paid Search,42357,149,54,3019
2026-02-01,Paid Social,1268,0,0,23
2026-02-01,Referral,21253,21,13,366
2026-03-01,Direct,411747,90,34,3182
2026-03-01,Email,9147,16,4,21
2026-03-01,Organic Search,190394,285,60,7761
2026-03-01,Other,6504,8,0,127
2026-03-01,Paid Search,44802,166,56,2987
2026-03-01,Paid Social,1555,1,0,18
2026-03-01,Referral,25454,19,7,361
2026-04-01,Direct,322861,92,24,3244
2026-04-01,Email,9019,15,5,22
2026-04-01,Organic Search,196365,274,49,8450
2026-04-01,Other,7079,4,0,116
2026-04-01,Paid Search,40502,141,35,2961
2026-04-01,Paid Social,1730,0,0,9
2026-04-01,Referral,21302,13,4,416
