WEEK_START,CHANNEL,HOST_BUCKET,SESSIONS,VISITORS
2025-10-13,Email,other,31,7
2025-10-13,Email,www,234,210
2025-10-13,Organic Search,app,11924,9042
2025-10-13,Organic Search,other,510,132
2025-10-13,Organic Search,www,19091,17591
2025-10-13,Organic Social,app,256,185
2025-10-13,Organic Social,other,18,2
2025-10-13,Organic Social,www,359,338
2025-10-13,Paid Content,app,2,2
2025-10-13,Paid Content,www,93,81
2025-10-13,Paid Search,app,5123,4424
2025-10-13,Paid Search,other,113,47
2025-10-13,Paid Search,www,2892,2733
2025-10-13,Paid Social,app,24,18
2025-10-13,Paid Social,other,1,1
2025-10-13,Paid Social,www,169,166
2025-10-13,Referral,app,4002,3225
2025-10-13,Referral,other,1012,220
2025-10-13,Referral,www,1327,1171
2025-10-20,Affiliate,app,84,55
2025-10-20,Affiliate,other,22,5
2025-10-20,Affiliate,www,551,521
2025-10-20,Direct,app,26630,22996
2025-10-20,Direct,other,2066,951
2025-10-20,Direct,www,8092,6958
2025-10-20,Email,app,393,330
2025-10-20,Email,other,26,9
2025-10-20,Email,www,798,773
2025-10-20,Organic Search,app,12432,9520
2025-10-20,Organic Search,other,469,120
2025-10-20,Organic Search,www,19926,18204
2025-10-20,Organic Social,app,233,151
2025-10-20,Organic Social,other,24,4
2025-10-20,Organic Social,www,376,357
2025-10-20,Paid Content,app,5,4
2025-10-20,Paid Content,www,305,273
2025-10-20,Paid Search,app,6599,5792
2025-10-20,Paid Search,other,90,31
2025-10-20,Paid Search,www,3119,2927
2025-10-20,Paid Social,app,35,25
2025-10-20,Paid Social,other,1,1
2025-10-20,Paid Social,www,349,342
2025-10-20,Referral,app,3873,3126
2025-10-20,Referral,other,1109,240
2025-10-20,Referral,www,1747,1571
2025-10-27,Affiliate,app,80,57
2025-10-27,Affiliate,other,6,3
2025-10-27,Affiliate,www,835,799
2025-10-27,Direct,app,28154,24668
2025-10-27,Direct,other,2205,1009
2025-10-27,Direct,www,9890,8753
2025-10-27,Email,app,517,427
2025-10-27,Email,other,22,7
2025-10-27,Email,www,270,249
2025-10-27,Organic Search,app,12327,9087
2025-10-27,Organic Search,other,458,122
2025-10-27,Organic Search,www,20341,18722
2025-10-27,Organic Social,app,235,161
2025-10-27,Organic Social,other,19,2
2025-10-27,Organic Social,www,474,454
2025-10-27,Paid Content,app,7,2
2025-10-27,Paid Content,www,287,259
2025-10-27,Paid Search,app,8037,6978
2025-10-27,Paid Search,other,80,27
2025-10-27,Paid Search,www,3602,3425
2025-10-27,Paid Social,app,53,32
2025-10-27,Paid Social,other,2,2
2025-10-27,Paid Social,www,2127,2101
2025-10-27,Referral,app,3203,2488
2025-10-27,Referral,other,1083,225
2025-10-27,Referral,www,1738,1571
2025-11-03,Affiliate,app,103,70
2025-11-03,Affiliate,other,2,2
2025-11-03,Affiliate,www,593,554
2025-11-03,Direct,app,25911,23551
2025-11-03,Direct,other,2177,1011
2025-11-03,Direct,www,7785,7411
2025-11-03,Email,app,195,118
2025-11-03,Email,other,29,12
2025-11-03,Email,www,126,108
2025-11-03,Organic Search,app,11676,8632
2025-11-03,Organic Search,other,505,125
2025-11-03,Organic Search,www,20065,18823
2025-11-03,Organic Social,app,263,183
2025-11-03,Organic Social,other,26,5
2025-11-03,Organic Social,www,338,323
2025-11-03,Paid Content,app,4,2
2025-11-03,Paid Content,www,118,95
2025-11-03,Paid Search,app,9265,8292
2025-11-03,Paid Search,other,69,37
2025-11-03,Paid Search,www,2972,2839
2025-11-03,Paid Social,app,42,31
2025-11-03,Paid Social,www,1412,1392
2025-11-03,Referral,app,2488,1861
2025-11-03,Referral,other,1016,237
2025-11-03,Referral,www,2084,1923
2025-11-10,Affiliate,app,101,71
2025-11-10,Affiliate,other,2,1
2025-11-10,Affiliate,www,594,551
2025-11-10,Direct,app,34641,32430
2025-11-10,Direct,other,2314,1072
2025-11-10,Direct,www,7095,6772
2025-11-10,Email,app,502,388
2025-11-10,Email,other,31,9
2025-11-10,Email,www,173,161
2025-11-10,Organic Search,app,11864,8874
2025-11-10,Organic Search,other,545,135
2025-11-10,Organic Search,www,18344,17005
2025-11-10,Organic Social,app,255,146
2025-11-10,Organic Social,other,25,2
2025-11-10,Organic Social,www,264,252
2025-11-10,Paid Content,app,1,1
2025-11-10,Paid Content,www,115,76
2025-11-10,Paid Search,app,9677,8506
2025-11-10,Paid Search,other,102,42
2025-11-10,Paid Search,www,2750,2591
2025-11-10,Paid Social,app,35,22
2025-11-10,Paid Social,other,1,1
2025-11-10,Paid Social,www,236,219
2025-11-10,Referral,app,2262,1690
2025-11-10,Referral,other,1133,223
2025-11-10,Referral,www,1618,1447
2025-11-17,Affiliate,app,119,96
2025-11-17,Affiliate,other,6,1
2025-11-17,Affiliate,www,563,536
2025-11-17,Direct,app,35180,32859
2025-11-17,Direct,other,2410,1111
2025-11-17,Direct,www,6715,6371
2025-11-17,Email,app,1361,1211
2025-11-17,Email,other,37,10
2025-11-17,Email,www,726,695
2025-11-17,Organic Search,app,12479,9251
2025-11-17,Organic Search,other,416,116
2025-11-17,Organic Search,www,19927,18471
2025-11-17,Organic Social,app,260,177
2025-11-17,Organic Social,other,11,3
2025-11-17,Organic Social,www,315,295
2025-11-17,Paid Content,app,5,5
2025-11-17,Paid Content,www,136,100
2025-11-17,Paid Search,app,7036,6125
2025-11-17,Paid Search,other,80,47
2025-11-17,Paid Search,www,2330,2213
2025-11-17,Paid Social,app,261,250
2025-11-17,Paid Social,other,1,1
2025-11-17,Paid Social,www,167,161
2025-11-17,Referral,app,1924,1457
2025-11-17,Referral,other,1079,227
2025-11-17,Referral,www,1119,1012
2025-11-24,Affiliate,app,101,78
2025-11-24,Affiliate,other,10,4
2025-11-24,Affiliate,www,451,420
2025-11-24,Direct,app,66178,64624
2025-11-24,Direct,other,2143,929
2025-11-24,Direct,www,5872,5555
2025-11-24,Email,app,527,440
2025-11-24,Email,other,47,11
2025-11-24,Email,www,330,317
2025-11-24,Organic Search,app,9385,7129
2025-11-24,Organic Search,other,385,112
2025-11-24,Organic Search,www,13933,12933
2025-11-24,Organic Social,app,201,136
2025-11-24,Organic Social,other,15,4
2025-11-24,Organic Social,www,334,321
2025-11-24,Paid Content,app,39,21
2025-11-24,Paid Content,www,80,59
2025-11-24,Paid Search,app,5292,4715
2025-11-24,Paid Search,other,37,29
2025-11-24,Paid Search,www,2316,2177
2025-11-24,Paid Social,app,217,205
2025-11-24,Paid Social,other,2,2
2025-11-24,Paid Social,www,125,123
2025-11-24,Referral,app,1720,1313
2025-11-24,Referral,other,753,169
2025-11-24,Referral,www,1000,890
2025-12-01,Affiliate,app,114,65
2025-12-01,Affiliate,other,19,4
2025-12-01,Affiliate,www,512,476
2025-12-01,Direct,app,50637,48725
2025-12-01,Direct,other,2493,1098
2025-12-01,Direct,www,6392,6126
2025-12-01,Email,app,242,145
2025-12-01,Email,other,33,8
2025-12-01,Email,www,87,77
2025-12-01,Organic Search,app,10281,7761
2025-12-01,Organic Search,other,497,129
2025-12-01,Organic Search,www,18232,16908
2025-12-01,Organic Social,app,167,124
2025-12-01,Organic Social,other,24,4
2025-12-01,Organic Social,www,368,350
2025-12-01,Paid Content,app,31,21
2025-12-01,Paid Content,www,97,68
2025-12-01,Paid Search,app,7398,6688
2025-12-01,Paid Search,other,70,30
2025-12-01,Paid Search,www,2968,2807
2025-12-01,Paid Social,app,239,234
2025-12-01,Paid Social,www,166,165
2025-12-01,Referral,app,1731,1353
2025-12-01,Referral,other,860,181
2025-12-01,Referral,www,977,898
2025-12-08,Affiliate,app,122,83
2025-12-08,Affiliate,other,11,3
2025-12-08,Affiliate,www,540,521
2025-12-08,Direct,app,85832,83856
2025-12-08,Direct,other,2421,1046
2025-12-08,Direct,www,5985,5735
2025-12-08,Email,app,236,168
2025-12-08,Email,other,52,7
2025-12-08,Email,www,318,308
2025-12-08,Organic Search,app,10355,7649
2025-12-08,Organic Search,other,476,120
2025-12-08,Organic Search,www,16579,15416
2025-12-08,Organic Social,app,221,140
2025-12-08,Organic Social,other,14,3
2025-12-08,Organic Social,www,370,361
2025-12-08,Paid Content,app,33,24
2025-12-08,Paid Content,www,452,420
2025-12-08,Paid Search,app,6690,5908
2025-12-08,Paid Search,other,83,37
2025-12-08,Paid Search,www,3012,2862
2025-12-08,Paid Social,app,246,236
2025-12-08,Paid Social,other,1,1
2025-12-08,Paid Social,www,349,329
2025-12-08,Referral,app,1838,1339
2025-12-08,Referral,other,882,177
2025-12-08,Referral,www,865,783
2025-12-15,Affiliate,app,138,73
2025-12-15,Affiliate,other,11,2
2025-12-15,Affiliate,www,503,475
2025-12-15,Direct,app,52728,50705
2025-12-15,Direct,other,2306,981
2025-12-15,Direct,www,4164,3946
2025-12-15,Email,app,291,163
2025-12-15,Email,other,44,6
2025-12-15,Email,www,258,246
2025-12-15,Organic Search,app,10547,7875
2025-12-15,Organic Search,other,473,113
2025-12-15,Organic Search,www,14614,13573
2025-12-15,Organic Social,app,224,130
2025-12-15,Organic Social,other,9,2
2025-12-15,Organic Social,www,320,311
2025-12-15,Paid Content,app,26,13
2025-12-15,Paid Content,www,206,194
2025-12-15,Paid Search,app,6242,5428
2025-12-15,Paid Search,other,95,43
2025-12-15,Paid Search,www,3063,2919
2025-12-15,Paid Social,app,96,80
2025-12-15,Paid Social,other,1,1
2025-12-15,Paid Social,www,174,166
2025-12-15,Referral,app,1582,1201
2025-12-15,Referral,other,895,182
2025-12-15,Referral,www,714,650
2025-12-22,Affiliate,app,140,95
2025-12-22,Affiliate,other,10,4
2025-12-22,Affiliate,www,409,388
2025-12-22,Direct,app,59573,58385
2025-12-22,Direct,other,1588,781
2025-12-22,Direct,www,3317,3170
2025-12-22,Email,app,214,167
2025-12-22,Email,other,32,8
2025-12-22,Email,www,309,302
2025-12-22,Organic Search,app,7503,6079
2025-12-22,Organic Search,other,248,88
2025-12-22,Organic Search,www,9146,8477
2025-12-22,Organic Social,app,220,142
2025-12-22,Organic Social,www,259,256
2025-12-22,Paid Content,app,15,15
2025-12-22,Paid Content,www,11,10
2025-12-22,Paid Search,app,4124,3729
2025-12-22,Paid Search,other,37,28
2025-12-22,Paid Search,www,2121,2029
2025-12-22,Paid Social,app,32,27
2025-12-22,Paid Social,www,26,23
2025-12-22,Referral,app,1565,1284
2025-12-22,Referral,other,455,170
2025-12-22,Referral,www,611,563
2025-12-29,Affiliate,app,96,62
2025-12-29,Affiliate,other,7,4
2025-12-29,Affiliate,www,465,448
2025-12-29,Direct,app,49939,48809
2025-12-29,Direct,other,1664,832
2025-12-29,Direct,www,3522,3362
2025-12-29,Email,app,107,85
2025-12-29,Email,other,28,6
2025-12-29,Email,www,52,49
2025-12-29,Organic Search,app,7715,6290
2025-12-29,Organic Search,other,209,78
2025-12-29,Organic Search,www,10096,9364
2025-12-29,Organic Social,app,209,120
2025-12-29,Organic Social,other,1,1
2025-12-29,Organic Social,www,317,291
2025-12-29,Paid Content,app,5,1
2025-12-29,Paid Content,www,9,9
2025-12-29,Paid Search,app,1781,1584
2025-12-29,Paid Search,other,49,22
2025-12-29,Paid Search,www,1712,1641
2025-12-29,Paid Social,app,23,23
2025-12-29,Paid Social,www,23,21
2025-12-29,Referral,app,1515,1322
2025-12-29,Referral,other,411,115
2025-12-29,Referral,www,658,604
2026-01-05,Affiliate,app,99,64
2026-01-05,Affiliate,other,9,3
2026-01-05,Affiliate,www,485,447
2026-01-05,Direct,app,78581,76576
2026-01-05,Direct,other,2128,927
2026-01-05,Direct,www,6292,5859
2026-01-05,Email,app,1176,1069
2026-01-05,Email,other,16,7
2026-01-05,Email,www,245,214
2026-01-05,Organic Search,app,10123,7739
2026-01-05,Organic Search,other,265,85
2026-01-05,Organic Search,www,14104,13022
2026-01-05,Organic Social,app,246,168
2026-01-05,Organic Social,other,1,1
2026-01-05,Organic Social,www,291,275
2026-01-05,Paid Content,app,3,1
2026-01-05,Paid Content,www,7,7
2026-01-05,Paid Search,app,4372,3775
2026-01-05,Paid Search,other,59,29
2026-01-05,Paid Search,www,3073,2937
2026-01-05,Paid Social,app,35,24
2026-01-05,Paid Social,www,71,53
2026-01-05,Referral,app,1968,1591
2026-01-05,Referral,other,763,234
2026-01-05,Referral,www,769,686
2026-01-12,Affiliate,app,108,65
2026-01-12,Affiliate,www,464,437
2026-01-12,Direct,app,47090,45073
2026-01-12,Direct,other,2355,1062
2026-01-12,Direct,www,4738,4515
2026-01-12,Email,app,283,187
2026-01-12,Email,other,15,8
2026-01-12,Email,www,73,60
2026-01-12,Organic Search,app,10600,8172
2026-01-12,Organic Search,other,336,97
2026-01-12,Organic Search,www,14787,13750
2026-01-12,Organic Social,app,290,210
2026-01-12,Organic Social,other,1,1
2026-01-12,Organic Social,www,376,357
2026-01-12,Paid Content,app,2,1
2026-01-12,Paid Content,www,5,5
2026-01-12,Paid Search,app,4111,3517
2026-01-12,Paid Search,other,60,36
2026-01-12,Paid Search,www,3004,2866
2026-01-12,Paid Social,app,47,19
2026-01-12,Paid Social,other,2,2
2026-01-12,Paid Social,www,328,310
2026-01-12,Referral,app,1939,1530
2026-01-12,Referral,other,791,281
2026-01-12,Referral,www,809,735
2026-01-19,Affiliate,app,139,88
2026-01-19,Affiliate,other,1,1
2026-01-19,Affiliate,www,510,473
2026-01-19,Direct,app,38871,36872
2026-01-19,Direct,other,2286,994
2026-01-19,Direct,www,3803,3617
2026-01-19,Email,app,168,94
2026-01-19,Email,other,12,6
2026-01-19,Email,www,35,32
2026-01-19,Organic Search,app,11087,8665
2026-01-19,Organic Search,other,418,107
2026-01-19,Organic Search,www,10709,10042
2026-01-19,Organic Social,app,255,178
2026-01-19,Organic Social,www,283,270
2026-01-19,Paid Content,app,2,2
2026-01-19,Paid Content,www,8,8
2026-01-19,Paid Search,app,5134,4430
2026-01-19,Paid Search,other,47,27
2026-01-19,Paid Search,www,2648,2555
2026-01-19,Paid Social,app,63,43
2026-01-19,Paid Social,www,273,260
2026-01-19,Referral,app,2012,1614
2026-01-19,Referral,other,766,145
2026-01-19,Referral,www,700,646
2026-01-26,Affiliate,app,137,102
2026-01-26,Affiliate,other,1,1
2026-01-26,Affiliate,www,438,404
2026-01-26,Direct,app,52081,50019
2026-01-26,Direct,other,2354,998
2026-01-26,Direct,www,3999,3850
2026-01-26,Email,app,269,152
2026-01-26,Email,other,16,7
2026-01-26,Email,www,36,27
2026-01-26,Organic Search,app,12989,9940
2026-01-26,Organic Search,other,524,121
2026-01-26,Organic Search,www,8858,8327
2026-01-26,Organic Social,app,274,217
2026-01-26,Organic Social,www,287,282
2026-01-26,Paid Content,www,6,6
2026-01-26,Paid Search,app,5140,4423
2026-01-26,Paid Search,other,40,24
2026-01-26,Paid Search,www,2261,2164
2026-01-26,Paid Social,app,67,39
2026-01-26,Paid Social,www,256,247
2026-01-26,Referral,app,1892,1532
2026-01-26,Referral,other,767,164
2026-01-26,Referral,www,588,521
2026-02-02,Affiliate,app,104,66
2026-02-02,Affiliate,other,4,1
2026-02-02,Affiliate,www,438,406
2026-02-02,Direct,app,75468,73226
2026-02-02,Direct,other,2307,1014
2026-02-02,Direct,www,4806,4563
2026-02-02,Email,app,533,451
2026-02-02,Email,other,17,6
2026-02-02,Email,www,283,262
2026-02-02,Organic Search,app,11380,8710
2026-02-02,Organic Search,other,527,129
2026-02-02,Organic Search,www,10455,9636
2026-02-02,Organic Social,app,347,279
2026-02-02,Organic Social,other,4,2
2026-02-02,Organic Social,www,323,312
2026-02-02,Paid Content,app,2,2
2026-02-02,Paid Content,www,5,5
2026-02-02,Paid Search,app,4066,3450
2026-02-02,Paid Search,other,85,31
2026-02-02,Paid Search,www,3667,3491
2026-02-02,Paid Social,app,36,19
2026-02-02,Paid Social,other,1,1
2026-02-02,Paid Social,www,260,245
2026-02-02,Referral,app,1964,1490
2026-02-02,Referral,other,708,153
2026-02-02,Referral,www,657,585
2026-02-09,Affiliate,app,99,62
2026-02-09,Affiliate,other,15,3
2026-02-09,Affiliate,www,466,440
2026-02-09,Direct,app,49572,47631
2026-02-09,Direct,other,2302,1167
2026-02-09,Direct,www,4703,4510
2026-02-09,Email,app,267,187
2026-02-09,Email,other,14,7
2026-02-09,Email,www,64,50
2026-02-09,Organic Search,app,10664,8277
2026-02-09,Organic Search,other,458,119
2026-02-09,Organic Search,www,11016,10212
2026-02-09,Organic Social,app,324,217
2026-02-09,Organic Social,other,6,1
2026-02-09,Organic Social,www,363,341
2026-02-09,Paid Content,app,1,1
2026-02-09,Paid Content,www,3,3
2026-02-09,Paid Search,app,3692,3062
2026-02-09,Paid Search,other,105,47
2026-02-09,Paid Search,www,3524,3397
2026-02-09,Paid Social,app,31,25
2026-02-09,Paid Social,other,1,1
2026-02-09,Paid Social,www,287,275
2026-02-09,Referral,app,1980,1507
2026-02-09,Referral,other,713,151
2026-02-09,Referral,www,723,650
2026-02-16,Affiliate,app,69,52
2026-02-16,Affiliate,other,11,5
2026-02-16,Affiliate,www,528,505
2026-02-16,Direct,app,45077,43227
2026-02-16,Direct,other,2325,1105
2026-02-16,Direct,www,4735,4554
2026-02-16,Email,app,261,199
2026-02-16,Email,other,28,8
2026-02-16,Email,www,66,53
2026-02-16,Organic Search,app,11328,9116
2026-02-16,Organic Search,other,428,104
2026-02-16,Organic Search,www,9786,9040
2026-02-16,Organic Social,app,315,199
2026-02-16,Organic Social,other,1,1
2026-02-16,Organic Social,www,346,332
2026-02-16,Paid Content,www,6,4
2026-02-16,Paid Search,app,3553,2983
2026-02-16,Paid Search,other,122,36
2026-02-16,Paid Search,www,3052,2910
2026-02-16,Paid Social,app,41,35
2026-02-16,Paid Social,other,1,1
2026-02-16,Paid Social,www,324,305
2026-02-16,Referral,app,1473,1088
2026-02-16,Referral,other,737,162
2026-02-16,Referral,www,731,638
2026-02-23,Affiliate,app,67,41
2026-02-23,Affiliate,other,13,4
2026-02-23,Affiliate,www,438,406
2026-02-23,Direct,app,43203,41130
2026-02-23,Direct,other,2393,1031
2026-02-23,Direct,www,4857,4637
2026-02-23,Email,app,433,345
2026-02-23,Email,other,25,10
2026-02-23,Email,www,996,983
2026-02-23,Organic Search,app,12008,9527
2026-02-23,Organic Search,other,374,91
2026-02-23,Organic Search,www,10709,9932
2026-02-23,Organic Social,app,295,204
2026-02-23,Organic Social,www,333,320
2026-02-23,Paid Content,app,1,1
2026-02-23,Paid Content,www,5,4
2026-02-23,Paid Search,app,5212,4440
2026-02-23,Paid Search,other,112,41
2026-02-23,Paid Search,www,2449,2316
2026-02-23,Paid Social,app,55,45
2026-02-23,Paid Social,www,199,187
2026-02-23,Referral,app,1880,1341
2026-02-23,Referral,other,759,269
2026-02-23,Referral,www,705,594
2026-03-02,Affiliate,app,93,50
2026-03-02,Affiliate,other,5,1
2026-03-02,Affiliate,www,444,406
2026-03-02,Direct,apex,1,1
2026-03-02,Direct,app,58707,56678
2026-03-02,Direct,other,2287,969
2026-03-02,Direct,www,5357,5167
2026-03-02,Email,app,713,620
2026-03-02,Email,other,27,6
2026-03-02,Email,www,394,376
2026-03-02,Organic Search,app,12546,9948
2026-03-02,Organic Search,other,381,101
2026-03-02,Organic Search,www,11013,10184
2026-03-02,Organic Social,app,232,133
2026-03-02,Organic Social,www,281,262
2026-03-02,Paid Content,www,3,3
2026-03-02,Paid Search,app,4850,4150
2026-03-02,Paid Search,other,106,36
2026-03-02,Paid Search,www,2195,2079
2026-03-02,Paid Social,app,26,26
2026-03-02,Paid Social,www,166,159
2026-03-02,Referral,apex,1,1
2026-03-02,Referral,app,1891,1432
2026-03-02,Referral,other,846,162
2026-03-02,Referral,www,671,606
2026-03-09,Affiliate,app,77,40
2026-03-09,Affiliate,other,1,1
2026-03-09,Affiliate,www,412,388
2026-03-09,Direct,apex,2,1
2026-03-09,Direct,app,47802,45594
2026-03-09,Direct,other,2566,1116
2026-03-09,Direct,www,4226,4048
2026-03-09,Email,app,572,505
2026-03-09,Email,other,15,8
2026-03-09,Email,www,919,909
2026-03-09,Organic Search,app,13234,10660
2026-03-09,Organic Search,other,369,111
2026-03-09,Organic Search,www,10662,9893
2026-03-09,Organic Social,app,299,219
2026-03-09,Organic Social,www,339,320
2026-03-09,Paid Content,www,2,2
2026-03-09,Paid Search,app,3683,3108
2026-03-09,Paid Search,other,71,29
2026-03-09,Paid Search,www,2583,2448
2026-03-09,Paid Social,app,37,22
2026-03-09,Paid Social,www,176,157
2026-03-09,Referral,app,2051,1623
2026-03-09,Referral,other,792,389
2026-03-09,Referral,www,541,487
2026-03-16,Affiliate,app,8,8
2026-03-16,Affiliate,other,5,2
2026-03-16,Affiliate,www,415,381
2026-03-16,Direct,app,84649,84385
2026-03-16,Direct,other,2411,1022
2026-03-16,Direct,www,102341,100628
2026-03-16,Email,app,36,20
2026-03-16,Email,other,28,9
2026-03-16,Email,www,522,446
2026-03-16,Organic Search,app,1793,1381
2026-03-16,Organic Search,other,394,102
2026-03-16,Organic Search,www,24254,21107
2026-03-16,Organic Social,app,40,16
2026-03-16,Organic Social,other,2,1
2026-03-16,Organic Social,www,625,523
2026-03-16,Paid Content,www,7,4
2026-03-16,Paid Search,app,402,344
2026-03-16,Paid Search,other,62,29
2026-03-16,Paid Search,www,5145,4460
2026-03-16,Paid Social,app,6,5
2026-03-16,Paid Social,www,339,319
2026-03-16,Referral,app,375,289
2026-03-16,Referral,other,853,186
2026-03-16,Referral,www,2410,2020
2026-03-23,Affiliate,app,9,2
2026-03-23,Affiliate,www,503,445
2026-03-23,Direct,app,248,230
2026-03-23,Direct,other,2579,1155
2026-03-23,Direct,www,69798,67758
2026-03-23,Email,app,7,1
2026-03-23,Email,other,32,8
2026-03-23,Email,www,2118,2048
2026-03-23,Organic Search,app,168,77
2026-03-23,Organic Search,other,448,97
2026-03-23,Organic Search,www,30067,26073
2026-03-23,Organic Social,app,1,1
2026-03-23,Organic Social,other,19,19
2026-03-23,Organic Social,www,642,498
2026-03-23,Paid Content,www,3,1
2026-03-23,Paid Search,app,33,15
2026-03-23,Paid Search,other,59,35
2026-03-23,Paid Search,www,7169,6143
2026-03-23,Paid Social,www,572,541
2026-03-23,Referral,app,26,12
2026-03-23,Referral,other,900,194
2026-03-23,Referral,www,2687,2158
2026-03-30,Affiliate,app,8,2
2026-03-30,Affiliate,other,1,1
2026-03-30,Affiliate,www,442,391
2026-03-30,Direct,app,385,376
2026-03-30,Direct,other,2688,1414
2026-03-30,Direct,www,47428,45504
2026-03-30,Email,app,9,2
2026-03-30,Email,other,11,6
2026-03-30,Email,www,1897,1830
2026-03-30,Organic Search,app,68,37
2026-03-30,Organic Search,other,481,108
2026-03-30,Organic Search,www,35391,31238
2026-03-30,Organic Social,other,21,21
2026-03-30,Organic Social,www,593,477
2026-03-30,Paid Content,www,6,4
2026-03-30,Paid Search,app,33,10
2026-03-30,Paid Search,other,75,38
2026-03-30,Paid Search,www,7418,6494
2026-03-30,Paid Social,app,1,1
2026-03-30,Paid Social,other,3,2
2026-03-30,Paid Social,www,548,519
2026-03-30,Referral,app,14,5
2026-03-30,Referral,other,853,193
2026-03-30,Referral,www,2726,2236
2026-04-06,Affiliate,app,12,2
2026-04-06,Affiliate,www,428,374
2026-04-06,Direct,app,65,58
2026-04-06,Direct,other,2419,1174
2026-04-06,Direct,www,46358,44405
2026-04-06,Email,app,4,2
2026-04-06,Email,other,11,7
2026-04-06,Email,www,2507,2398
2026-04-06,Organic Search,app,46,23
2026-04-06,Organic Search,other,373,100
2026-04-06,Organic Search,www,35563,31492
2026-04-06,Organic Social,other,23,23
2026-04-06,Organic Social,www,559,456
2026-04-06,Paid Content,www,4,4
2026-04-06,Paid Search,app,24,5
2026-04-06,Paid Search,other,80,34
2026-04-06,Paid Search,www,9599,8561
2026-04-06,Paid Social,www,389,374
2026-04-06,Referral,app,19,9
2026-04-06,Referral,other,651,155
2026-04-06,Referral,www,2438,1943
2026-04-13,Affiliate,app,9,1
2026-04-13,Affiliate,other,2,2
2026-04-13,Affiliate,www,460,416
2026-04-13,Direct,app,61,57
2026-04-13,Direct,other,2746,1385
2026-04-13,Direct,www,118892,116853
2026-04-13,Email,app,2,1
2026-04-13,Email,other,13,6
2026-04-13,Email,www,1446,1349
2026-04-13,Organic Search,app,28,16
2026-04-13,Organic Search,other,364,102
2026-04-13,Organic Search,www,35797,31647
2026-04-13,Organic Social,app,1,1
2026-04-13,Organic Social,other,9,8
2026-04-13,Organic Social,www,543,450
2026-04-13,Paid Content,www,6,3
2026-04-13,Paid Search,app,21,4
2026-04-13,Paid Search,other,58,30
2026-04-13,Paid Search,www,7320,6497
2026-04-13,Paid Social,other,1,1
2026-04-13,Paid Social,www,399,389
2026-04-13,Referral,app,14,7
2026-04-13,Referral,other,836,175
2026-04-13,Referral,www,2812,2252
2026-04-20,Affiliate,app,1,1
2026-04-20,Affiliate,www,577,529
2026-04-20,Direct,app,50,47
2026-04-20,Direct,other,2448,1128
2026-04-20,Direct,www,97537,95169
2026-04-20,Email,other,13,6
2026-04-20,Email,www,474,404
2026-04-20,Organic Search,app,16,11
2026-04-20,Organic Search,other,320,92
2026-04-20,Organic Search,www,36943,32671
2026-04-20,Organic Social,app,1,1
2026-04-20,Organic Social,other,19,19
2026-04-20,Organic Social,www,2127,2021
2026-04-20,Paid Content,www,10,9
2026-04-20,Paid Search,app,26,5
2026-04-20,Paid Search,other,64,34
2026-04-20,Paid Search,www,6414,5606
2026-04-20,Paid Social,other,1,1
2026-04-20,Paid Social,www,487,453
2026-04-20,Referral,app,14,5
2026-04-20,Referral,other,801,160
2026-04-20,Referral,www,2896,2348
2026-04-27,Direct,other,6,6
2026-04-27,Direct,www,524,523
