WEEK_START,VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,TWO_SIGMA_UPPER,TWO_SIGMA_LOWER,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,SIGNAL_RULE_4,MR_SIGNAL,ANY_SIGNAL
2024-07-01,100667,7810,153813.40,9349.35,178682.67,128944.13,30544.33,170361.75,137265.05,true,true,true,true,false,true
2024-07-08,107210,6543,150963.45,9633.15,176587.63,125339.27,31471.50,168014.13,133912.77,true,true,true,false,false,true
2024-07-15,107307,97,148192.25,9711.90,174025.90,122358.60,31728.78,165382.31,131002.19,true,true,true,false,false,true
2024-07-22,103310,3997,144822.10,9112.95,169062.55,120581.65,29772.01,160952.02,128692.18,true,true,true,false,false,true
2024-07-29,100272,3038,140741.80,8802.50,164156.45,117327.15,28757.77,156322.23,125161.38,true,true,true,false,false,true
2024-08-05,104275,4003,137024.95,8439.05,159472.82,114577.08,27570.38,151962.07,122087.83,true,true,true,false,false,true
2024-08-12,106580,2305,133736.40,8411.05,156109.79,111363.01,27478.90,148623.96,118848.84,true,true,true,false,false,true
2024-08-19,106906,326,130883.70,8205.70,152710.86,109056.54,26808.02,145407.79,116359.61,true,true,true,false,false,true
2024-08-26,104328,2578,127231.25,7405.95,146931.08,107531.42,24195.24,140339.78,114122.72,true,true,true,false,false,true
2024-09-02,109322,4994,123801.25,7183.50,142909.36,104693.14,23468.49,136516.05,111086.46,false,true,true,false,false,true
2024-09-09,114640,5318,121859.40,6194.75,138337.44,105381.37,20238.25,132824.11,110894.69,false,true,false,false,false,true
2024-09-16,122206,7566,120063.80,6341.00,136930.86,103196.74,20716.05,131287.37,108840.23,false,false,false,false,false,false
2024-09-23,116569,5637,118398.05,6470.85,135610.51,101185.59,21140.27,129851.45,106944.65,false,false,false,false,false,false
2024-09-30,143683,27114,116795.50,6407.65,133839.85,99751.15,20933.79,128137.04,105453.96,true,true,true,false,true,true
2024-10-07,148214,4531,115703.70,6918.40,134106.64,97300.76,22602.41,127949.27,103458.13,true,true,true,false,false,true
2024-10-14,153148,4934,115724.35,6259.05,132373.42,99075.28,20448.32,126802.87,104645.83,true,true,true,false,false,true
2024-10-21,153377,229,116443.00,6054.45,132547.84,100338.16,19779.89,127159.38,105726.62,true,true,true,false,false,true
2024-10-28,135454,17923,117395.10,5843.90,132939.87,101850.33,19092.02,127738.80,107051.40,true,true,true,false,false,true
2024-11-04,137568,2114,117845.25,6345.85,134725.21,100965.29,20731.89,129077.40,106613.10,true,true,true,false,false,true
2024-11-11,152731,15163,119175.65,5677.00,134276.47,104074.83,18546.76,129223.94,109127.36,true,true,true,false,false,true
2024-11-18,158485,5754,121388.35,6311.00,138175.61,104601.09,20618.04,132558.82,110217.88,true,true,true,false,false,true
2024-11-25,152504,5981,124279.25,6208.20,140793.06,107765.44,20282.19,135267.76,113290.74,true,true,true,true,false,true
2024-12-02,151676,828,126543.95,6180.10,142983.02,110104.88,20190.39,137482.73,115605.17,true,true,true,true,false,true
2024-12-09,130348,21328,128762.40,6216.65,145298.69,112226.11,20309.80,139765.87,117758.93,false,true,false,true,true,true
2024-12-16,130047,301,130114.30,7083.20,148955.61,111272.99,23140.81,142651.56,117577.04,false,true,false,true,false,true
2024-12-23,93106,36941,131603.05,6946.35,150080.34,113125.76,22693.73,143898.09,119308.01,true,true,true,true,true,true
2024-12-30,71536,21570,131044.60,8593.25,153902.65,108186.56,28074.15,146254.65,115834.55,true,true,true,true,false,true
2025-01-06,119155,47619,129292.40,9556.50,154712.69,103872.11,31221.09,146207.41,112377.40,false,true,false,false,true,true
2025-01-13,127001,7846,129904.85,11921.15,161615.11,98194.59,38946.40,151005.29,108804.41,false,true,false,false,false,true
2025-01-20,120641,6360,131038.50,12184.55,163449.40,98627.60,39806.92,152605.15,109471.85,false,true,false,false,false,true
2025-01-27,125055,4414,131604.45,12252.85,164197.03,99011.87,40030.06,153291.99,109916.91,false,true,false,false,false,true
2025-02-03,128866,3811,132125.20,12207.65,164597.55,99652.85,39882.39,153732.74,110517.66,false,true,false,false,false,true
2025-02-10,122447,6419,132458.20,12019.90,164431.13,100485.27,39269.01,153733.42,111182.98,false,true,false,false,false,true
2025-02-17,136937,14490,132752.10,12059.00,164829.04,100675.16,39396.75,154096.53,111407.67,false,false,false,false,false,false
2025-02-24,129486,7451,132414.80,11427.80,162812.75,102016.85,37334.62,152642.01,112187.59,false,false,false,false,false,false
2025-03-03,139160,9674,131478.40,11573.80,162264.71,100692.09,37811.60,151964.03,110992.77,false,false,false,false,false,false
2025-03-10,129706,9454,130779.00,11810.80,162195.73,99362.27,38585.88,151684.12,109873.88,false,false,false,false,false,false
2025-03-17,135572,5866,129595.45,12272.05,162239.10,96951.80,40092.79,151316.98,107873.92,false,false,false,false,false,false
2025-03-24,126187,9385,129601.35,11669.20,160641.42,98561.28,38123.28,150255.83,108946.87,false,false,false,false,false,false
2025-03-31,137012,10825,129032.30,12032.75,161039.42,97025.19,39310.99,150330.27,107734.33,false,false,false,false,false,false
2025-04-07,121348,15664,128246.35,11815.85,159676.51,96816.19,38602.38,149160.40,107332.30,false,false,false,false,false,false
2025-04-14,113211,8137,126389.50,12311.35,159137.69,93641.31,40221.18,148180.59,104598.41,false,false,false,false,false,false
2025-04-21,119384,6173,124424.85,12419.15,157459.79,91389.91,40573.36,146406.75,102442.95,false,false,false,false,false,false
2025-04-28,123859,4475,122810.25,12686.40,156556.07,89064.43,41446.47,145265.18,100355.32,false,false,false,false,false,false
2025-05-05,95182,28677,122485.80,11843.75,153990.18,90981.43,38693.53,143449.24,101522.36,false,true,false,false,false,true
2025-05-12,108023,12841,120742.55,13262.55,156020.93,85464.17,43328.75,144217.26,97267.84,false,true,false,false,false,true
2025-05-19,90395,17628,121488.40,12057.55,153561.48,89415.32,39392.02,142830.26,100146.54,false,true,true,false,false,true
2025-05-26,84098,6297,122431.35,11860.45,153980.15,90882.55,38748.09,143424.35,101438.35,true,true,true,false,false,true
2025-06-02,82039,2059,120678.50,9794.35,146731.47,94625.53,31998.14,138014.50,103342.50,true,true,true,false,false,true
2025-06-09,88159,6120,118430.40,9505.00,143713.70,93147.10,31052.84,135254.25,101606.55,true,true,true,false,false,true
2025-06-16,77511,10648,116806.30,9493.00,142057.68,91554.92,31013.63,133608.91,100003.69,true,true,true,false,false,true
2025-06-23,74824,2687,114429.10,9804.70,140509.60,88348.60,32031.95,131783.42,97074.78,true,true,true,false,false,true
2025-06-30,82985,8161,111727.00,9748.50,137658.01,85795.99,31848.35,128981.85,94472.16,true,true,true,false,false,true
2025-07-07,146274,63289,109753.90,9835.60,135916.60,83591.20,32132.91,127162.91,92344.89,true,false,true,false,true,true
2025-07-14,76850,69424,110220.75,12275.55,142873.71,77567.79,40104.22,131948.47,88493.03,true,false,true,false,true,true
2025-07-21,80970,4120,107588.95,15374.20,148484.32,66693.58,50227.51,134801.28,80376.62,false,false,false,false,false,false
2025-07-28,76233,4737,104679.45,15096.50,144836.14,64522.76,49320.27,131400.26,77958.65,false,false,false,false,false,false
2025-08-04,96929,20696,102005.80,14860.65,141535.13,62476.47,48549.74,128309.15,75702.45,false,false,false,false,false,false
2025-08-11,138750,41821,100073.65,15602.15,141575.37,58571.93,50972.22,127689.46,72457.84,false,false,false,false,false,false
2025-08-18,84911,53839,100701.80,17223.95,146517.51,54886.09,56270.64,131188.19,70215.41,false,false,false,false,false,false
2025-08-25,84023,888,98096.75,19374.65,149633.32,46560.18,63296.98,132389.88,63803.62,false,false,false,false,false,false
2025-09-01,83428,595,96230.50,18635.85,145801.86,46659.14,60883.32,129215.95,63245.05,false,false,false,false,false,false
2025-09-08,86012,2584,94741.35,18258.75,143309.63,46173.08,59651.34,127059.34,62423.36,false,false,false,false,false,false
2025-09-15,91781,5769,93072.75,18079.30,141163.69,44981.81,59065.07,125073.11,61072.39,false,false,false,false,false,false
2025-09-22,99766,7985,91468.85,18144.00,139731.89,43205.81,59276.45,123583.73,59353.97,false,true,false,false,false,true
2025-09-29,100694,928,91698.05,17109.40,137209.05,46187.05,55896.41,121981.69,61414.41,false,true,false,false,false,true
2025-10-06,91874,8820,91331.60,16513.75,135258.18,47405.03,53950.42,120560.94,62102.26,false,true,false,false,false,true
2025-10-13,94385,2511,91405.55,16073.35,134160.66,48650.44,52511.63,119855.38,62955.72,false,true,false,false,false,true
2025-10-20,99042,4657,91919.90,15884.05,134171.47,49668.33,51893.19,120034.67,63805.13,false,true,false,false,false,true
2025-10-27,105038,5996,92770.05,16013.95,135367.16,50172.94,52317.57,121114.74,64425.36,false,true,false,false,false,true
2025-11-03,99163,5875,93614.00,16007.75,136194.62,51033.39,52297.32,121947.72,65280.28,false,true,false,false,false,true
2025-11-10,104563,5400,94696.60,15769.10,136642.41,52750.79,51517.65,122607.91,66785.29,false,true,false,false,false,true
2025-11-17,104899,336,96183.55,15904.75,138490.19,53876.92,51960.82,124334.96,68032.14,false,true,false,false,false,true
2025-11-24,121159,16260,97279.25,15513.50,138545.16,56013.34,50682.60,124738.15,69820.36,false,true,false,false,false,true
2025-12-01,116085,5074,96023.50,13162.05,131034.55,61012.45,43000.42,119320.33,72726.67,false,true,false,false,false,true
2025-12-08,147964,31879,97985.25,9944.55,124437.75,71532.75,32488.84,115587.10,80383.40,true,true,false,false,false,true
2025-12-15,109109,38855,101334.95,11332.50,131479.40,71190.50,37023.28,121393.48,81276.43,false,true,false,false,true,true
2025-12-22,97768,11341,102978.75,13038.40,137660.89,68296.61,42596.45,126056.72,79900.78,false,false,false,false,false,false
2025-12-29,87042,10726,103020.70,12570.65,136458.63,69582.77,41068.31,125270.75,80770.65,false,false,false,false,false,false
2026-01-05,133629,46587,100435.30,11015.90,129737.59,71133.01,35988.95,119933.44,80937.16,true,false,false,false,true,true
2026-01-12,101466,32163,102871.20,10653.30,131208.98,74533.42,34804.33,121727.54,84014.86,false,false,false,false,false,false
2026-01-19,88876,12590,103743.35,12217.05,136240.70,71246.00,39913.10,125367.53,82119.17,false,false,false,false,false,false
2026-01-26,101743,12867,104015.75,12816.80,138108.44,69923.06,41872.49,126701.49,81330.01,false,false,false,false,false,false
2026-02-02,126277,24534,104802.30,13330.95,140262.63,69341.97,43552.21,128398.08,81206.52,false,false,false,false,false,false
2026-02-09,99326,26951,106527.10,14269.20,144483.17,68571.03,46617.48,131783.58,81270.62,false,false,false,false,false,false
2026-02-16,93257,6069,106505.10,15217.50,146983.65,66026.55,49715.57,133440.08,79570.13,false,false,false,false,false,false
2026-02-23,95323,2066,106133.25,15474.55,147295.55,64970.95,50555.35,133523.20,78743.30,false,false,false,false,false,false
2026-03-02,111407,16084,106305.70,15136.85,146569.72,66041.68,49452.09,133097.92,79513.48,false,false,false,false,false,false
2026-03-09,99660,11747,107156.80,15815.50,149226.03,65087.57,51669.24,135150.24,79163.37,false,false,false,false,false,false
2026-03-16,235216,135556,107187.70,16170.00,150199.90,64175.50,52827.39,135808.60,78566.80,true,false,false,false,true,true
2026-03-23,125922,109294,113696.60,22648.00,173940.28,53452.92,73991.02,153783.56,73609.64,false,false,false,false,true,true
2026-03-30,108876,17046,115034.55,27818.95,189032.96,41036.14,90884.51,164274.09,65795.01,false,false,false,false,false,false
