DATE,DOW,METRIC_NAME,METRIC_VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2023-07-30,0,CLICKS,3807,3187,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2023-08-06,0,CLICKS,5475,1668,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2023-08-13,0,CLICKS,4356,1119,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-08-20,0,CLICKS,3992,364,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-08-27,0,CLICKS,3325,667,2465.15,350.31,3396.97,1533.34,1144.46,false,true,true,false,true
2023-09-03,0,CLICKS,3676,351,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-09-10,0,CLICKS,2574,1102,2465.15,350.31,3396.97,1533.34,1144.46,false,true,false,false,true
2023-09-17,0,CLICKS,5728,3154,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2023-09-24,0,CLICKS,5618,110,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-10-01,0,CLICKS,6887,1269,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2023-10-08,0,CLICKS,7944,1057,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-10-15,0,CLICKS,6662,1282,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2023-10-22,0,CLICKS,6557,105,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-10-29,0,CLICKS,7186,629,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-11-05,0,CLICKS,6101,1085,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-11-12,0,CLICKS,5453,648,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-11-19,0,CLICKS,5603,150,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-11-26,0,CLICKS,5945,342,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-12-03,0,CLICKS,7565,1620,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2023-12-10,0,CLICKS,7397,168,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-12-17,0,CLICKS,8140,743,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-12-24,0,CLICKS,13499,5359,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2023-12-31,0,CLICKS,10393,3106,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2024-01-07,0,CLICKS,6905,3488,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2024-01-14,0,CLICKS,6144,761,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-01-21,0,CLICKS,6134,10,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-01-28,0,CLICKS,6336,202,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-02-04,0,CLICKS,6190,146,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-02-11,0,CLICKS,5875,315,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-02-18,0,CLICKS,6996,1121,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-02-25,0,CLICKS,7160,164,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-03-03,0,CLICKS,9344,2184,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2024-03-10,0,CLICKS,11282,1938,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2024-03-17,0,CLICKS,9846,1436,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2024-03-24,0,CLICKS,8526,1320,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2024-03-31,0,CLICKS,8180,346,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-04-07,0,CLICKS,10172,1992,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2024-04-14,0,CLICKS,7687,2485,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2024-04-21,0,CLICKS,4297,3390,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2024-04-28,0,CLICKS,4039,258,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-05-05,0,CLICKS,4459,420,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-05-12,0,CLICKS,3897,562,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-05-19,0,CLICKS,4092,195,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-05-26,0,CLICKS,3593,499,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-06-02,0,CLICKS,4030,437,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-06-09,0,CLICKS,3452,578,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2024-06-16,0,CLICKS,2284,1168,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,true,true
2024-06-23,0,CLICKS,2294,10,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-06-30,0,CLICKS,2909,615,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-07-07,0,CLICKS,2273,636,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-07-14,0,CLICKS,2212,61,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-07-21,0,CLICKS,2481,269,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-07-28,0,CLICKS,2108,373,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-08-04,0,CLICKS,2432,324,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-08-11,0,CLICKS,2294,138,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-08-18,0,CLICKS,2217,77,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-08-25,0,CLICKS,1607,610,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-09-01,0,CLICKS,1938,331,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-09-08,0,CLICKS,1969,31,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-09-15,0,CLICKS,3214,1245,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,true,true
2024-09-22,0,CLICKS,2296,918,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-09-29,0,CLICKS,2482,186,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-10-06,0,CLICKS,4322,1840,2465.15,350.31,3396.97,1533.34,1144.46,true,false,false,true,true
2024-10-13,0,CLICKS,2641,1681,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,true,true
2024-10-20,0,CLICKS,3422,781,2465.15,350.31,3396.97,1533.34,1144.46,true,false,false,false,true
2024-10-27,0,CLICKS,2248,1174,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,true,true
2024-11-03,0,CLICKS,2224,24,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-11-10,0,CLICKS,2372,148,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-11-17,0,CLICKS,3402,1030,2465.15,350.31,3396.97,1533.34,1144.46,true,false,true,false,true
2024-11-24,0,CLICKS,3478,76,2465.15,350.31,3396.97,1533.34,1144.46,true,false,true,false,true
2024-12-01,0,CLICKS,3939,461,2465.15,350.31,3396.97,1533.34,1144.46,true,false,true,false,true
2024-12-08,0,CLICKS,2744,1195,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,true,true
2024-12-15,0,CLICKS,2707,37,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-12-22,0,CLICKS,1928,779,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2024-12-29,0,CLICKS,1536,392,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2025-01-05,0,CLICKS,2776,1240,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,true,true
2025-01-12,0,CLICKS,2744,32,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2025-01-19,0,CLICKS,2439,305,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2025-01-26,0,CLICKS,2260,179,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2025-02-02,0,CLICKS,2356,96,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2025-02-09,0,CLICKS,2120,236,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2025-02-16,0,CLICKS,3054,934,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2025-02-23,0,CLICKS,3019,35,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2025-03-02,0,CLICKS,2969,50,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2025-03-09,0,CLICKS,1939,1030,2465.15,350.31,3396.97,1533.34,1144.46,false,true,false,false,true
2025-03-16,0,CLICKS,1965,26,2465.15,350.31,3396.97,1533.34,1144.46,false,true,false,false,true
2025-03-23,0,CLICKS,2254,289,2465.15,350.31,3396.97,1533.34,1144.46,false,true,false,false,true
2025-03-30,0,CLICKS,2152,102,2465.15,350.31,3396.97,1533.34,1144.46,false,true,false,false,true
2025-04-06,0,CLICKS,2187,35,2465.15,350.31,3396.97,1533.34,1144.46,false,true,false,false,true
2025-04-13,0,CLICKS,2153,34,2465.15,350.31,3396.97,1533.34,1144.46,false,true,false,false,true
2025-04-20,0,CLICKS,1672,481,2465.15,350.31,3396.97,1533.34,1144.46,false,true,false,false,true
2025-04-27,0,CLICKS,1870,198,2465.15,350.31,3396.97,1533.34,1144.46,false,true,false,false,true
2025-05-04,0,CLICKS,1722,148,2465.15,350.31,3396.97,1533.34,1144.46,false,true,true,false,true
2025-05-11,0,CLICKS,1549,173,2465.15,350.31,3396.97,1533.34,1144.46,false,true,true,false,true
2025-05-18,0,CLICKS,1417,132,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-05-25,0,CLICKS,1477,60,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-06-01,0,CLICKS,1379,98,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-06-08,0,CLICKS,1003,376,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-06-15,0,CLICKS,1189,186,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-06-22,0,CLICKS,858,331,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-06-29,0,CLICKS,1011,153,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-07-06,0,CLICKS,699,312,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-07-13,0,CLICKS,928,229,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-07-20,0,CLICKS,1236,308,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-07-27,0,CLICKS,798,438,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-08-03,0,CLICKS,967,169,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-08-10,0,CLICKS,824,143,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-08-17,0,CLICKS,871,47,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-08-24,0,CLICKS,675,196,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-08-31,0,CLICKS,742,67,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-09-07,0,CLICKS,1506,764,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-09-14,0,CLICKS,1266,240,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-09-21,0,CLICKS,1265,1,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-09-28,0,CLICKS,808,457,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-10-05,0,CLICKS,1132,324,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-10-12,0,CLICKS,889,243,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-10-19,0,CLICKS,899,10,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-10-26,0,CLICKS,1511,612,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-11-02,0,CLICKS,1510,1,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-11-09,0,CLICKS,1765,255,2465.15,350.31,3396.97,1533.34,1144.46,false,true,true,false,true
2025-11-16,0,CLICKS,1512,253,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-11-23,0,CLICKS,932,580,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-11-30,0,CLICKS,1145,213,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-12-07,0,CLICKS,1262,117,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-12-14,0,CLICKS,1261,1,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-12-21,0,CLICKS,1145,116,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2025-12-28,0,CLICKS,254,891,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-01-04,0,CLICKS,964,710,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-01-11,0,CLICKS,644,320,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-01-18,0,CLICKS,1079,435,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-01-25,0,CLICKS,1119,40,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-02-01,0,CLICKS,1004,115,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-02-08,0,CLICKS,823,181,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-02-15,0,CLICKS,781,42,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-02-22,0,CLICKS,857,76,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-03-01,0,CLICKS,919,62,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-03-08,0,CLICKS,810,109,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-03-15,0,CLICKS,561,249,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-03-22,0,CLICKS,489,72,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2026-03-29,0,CLICKS,1041,552,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-01-02,1,CLICKS,4165,,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2023-01-09,1,CLICKS,3883,282,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2023-01-16,1,CLICKS,3811,72,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2023-01-23,1,CLICKS,3233,578,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2023-01-30,1,CLICKS,3923,690,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2023-02-06,1,CLICKS,4274,351,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-02-13,1,CLICKS,4139,135,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2023-02-20,1,CLICKS,4440,301,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-02-27,1,CLICKS,4085,355,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2023-03-06,1,CLICKS,4841,756,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-03-13,1,CLICKS,5003,162,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-03-20,1,CLICKS,5726,723,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-03-27,1,CLICKS,8711,2985,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,true,true
2023-04-03,1,CLICKS,3760,4951,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,true,true
2023-04-10,1,CLICKS,2668,1092,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2023-04-17,1,CLICKS,4295,1627,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-04-24,1,CLICKS,7512,3217,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,true,true
2023-05-01,1,CLICKS,4333,3179,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,true,true
2023-05-08,1,CLICKS,4577,244,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-05-15,1,CLICKS,4614,37,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-05-22,1,CLICKS,4475,139,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-05-29,1,CLICKS,3866,609,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2023-06-05,1,CLICKS,4107,241,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2023-06-12,1,CLICKS,4470,363,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-06-19,1,CLICKS,4124,346,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2023-06-26,1,CLICKS,4339,215,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-07-03,1,CLICKS,5391,1052,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-07-10,1,CLICKS,5923,532,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-07-17,1,CLICKS,7566,1643,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-07-24,1,CLICKS,6177,1389,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-07-31,1,CLICKS,2768,3409,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,true,true
2023-08-07,1,CLICKS,5297,2529,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,true,true
2023-08-14,1,CLICKS,4125,1172,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2023-08-21,1,CLICKS,4101,24,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2023-08-28,1,CLICKS,3565,536,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2023-09-04,1,CLICKS,3552,13,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2023-09-11,1,CLICKS,2989,563,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2023-09-18,1,CLICKS,4717,1728,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-09-25,1,CLICKS,5769,1052,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-10-02,1,CLICKS,6560,791,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-10-09,1,CLICKS,6380,180,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-10-16,1,CLICKS,6870,490,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-10-23,1,CLICKS,8126,1256,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-10-30,1,CLICKS,7713,413,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-11-06,1,CLICKS,6374,1339,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-11-13,1,CLICKS,5620,754,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-11-20,1,CLICKS,5878,258,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-11-27,1,CLICKS,5199,679,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-12-04,1,CLICKS,6555,1356,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-12-11,1,CLICKS,7672,1117,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-12-18,1,CLICKS,7510,162,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2023-12-25,1,CLICKS,10916,3406,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,true,true
2024-01-01,1,CLICKS,9758,1158,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-01-08,1,CLICKS,4633,5125,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,true,true
2024-01-15,1,CLICKS,6359,1726,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-01-22,1,CLICKS,6427,68,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-01-29,1,CLICKS,6411,16,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-02-05,1,CLICKS,6611,200,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-02-12,1,CLICKS,6638,27,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-02-19,1,CLICKS,6658,20,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-02-26,1,CLICKS,7872,1214,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-03-04,1,CLICKS,8947,1075,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-03-11,1,CLICKS,10009,1062,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-03-18,1,CLICKS,8794,1215,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-03-25,1,CLICKS,8629,165,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-04-01,1,CLICKS,8040,589,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-04-08,1,CLICKS,10223,2183,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,true,true
2024-04-15,1,CLICKS,5947,4276,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,true,true
2024-04-22,1,CLICKS,6689,742,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-04-29,1,CLICKS,5020,1669,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-05-06,1,CLICKS,5157,137,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-05-13,1,CLICKS,5476,319,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-05-20,1,CLICKS,4464,1012,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-05-27,1,CLICKS,4526,62,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-06-03,1,CLICKS,4697,171,2609.15,610.92,4234.21,984.1,1995.89,true,true,true,false,true
2024-06-10,1,CLICKS,4116,581,2609.15,610.92,4234.21,984.1,1995.89,false,true,true,false,true
2024-06-17,1,CLICKS,3174,942,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2024-06-24,1,CLICKS,2853,321,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2024-07-01,1,CLICKS,3375,522,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2024-07-08,1,CLICKS,3108,267,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2024-07-15,1,CLICKS,3133,25,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2024-07-22,1,CLICKS,2696,437,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2024-07-29,1,CLICKS,2660,36,2609.15,610.92,4234.21,984.1,1995.89,false,true,false,false,true
2024-08-05,1,CLICKS,2571,89,2609.15,610.92,4234.21,984.1,1995.89,false,false,false,false,false
2024-08-12,1,CLICKS,2440,131,2609.15,610.92,4234.21,984.1,1995.89,false,false,false,false,false
