DATE,VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,TWO_SIGMA_UPPER,TWO_SIGMA_LOWER,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2023-01-18,19800,82,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-19,19707,93,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-20,17937,1770,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-21,11822,6115,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-01-22,11948,126,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-01-23,18230,6282,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-24,19065,835,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-25,19306,241,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-26,18339,967,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-27,17755,584,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-28,11867,5888,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-01-29,12179,312,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-01-30,21677,9498,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,true,true
2023-01-31,20849,828,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-01,20849,0,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-02,21032,183,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-03,18502,2530,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-04,13172,5330,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-02-05,13330,158,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-02-06,21007,7677,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-07,21689,682,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-08,21800,111,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-09,21407,393,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-10,19729,1678,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-11,13165,6564,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-02-12,13015,150,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-02-13,19119,6104,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-14,19717,598,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-15,19721,4,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-16,19657,64,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-17,17242,2415,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-18,11827,5415,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-02-19,12317,490,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-02-20,18262,5945,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-21,19722,1460,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-22,20645,923,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-23,20808,163,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-24,18304,2504,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-25,12249,6055,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-02-26,13010,761,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-02-27,19974,6964,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-02-28,21154,1180,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-01,21211,57,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-02,21523,312,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-03,19229,2294,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-04,12278,6951,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-03-05,13282,1004,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-03-06,22432,9150,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,true,true
2023-03-07,21543,889,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-08,21496,47,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-09,21276,220,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-10,19472,1804,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-11,13196,6276,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-12,13977,781,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-13,20519,6542,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-14,21201,682,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-15,20544,657,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-16,22071,1527,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-17,19859,2212,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-18,13296,6563,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-19,13786,490,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-20,22426,8640,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,true,true
2023-03-21,22695,269,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-03-22,23652,957,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-03-23,23704,52,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-03-24,21586,2118,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-25,15471,6115,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-26,15993,522,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-03-27,23105,7112,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-03-28,24183,1078,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-03-29,24247,64,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-03-30,23497,750,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-03-31,21288,2209,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-01,14013,7275,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-02,13789,224,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-03,21462,7673,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-04,21749,287,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-05,21172,577,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-06,20682,490,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-07,17401,3281,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-08,13667,3734,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-09,12478,1189,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-10,20270,7792,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-11,22087,1817,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-12,21411,676,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-13,21856,445,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-14,20337,1519,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-15,14002,6335,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-16,15043,1041,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-17,22127,7084,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-18,23392,1265,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-04-19,24977,1585,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,true,false,true,false,true
2023-04-20,21901,3076,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-21,20196,1705,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-22,14864,5332,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-23,16080,1216,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-24,23912,7832,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-04-25,24547,635,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-04-26,22929,1618,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-04-27,23219,290,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-04-28,20715,2504,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-29,14332,6383,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-04-30,14745,413,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-01,20698,5953,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-02,22421,1723,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-03,23022,601,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-04,22282,740,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-05,20214,2068,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-06,13149,7065,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-07,14027,878,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-08,22087,8060,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-09,22522,435,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-10,22310,212,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-11,23936,1626,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-12,19894,4042,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-13,12845,7049,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-05-14,12889,44,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-05-15,22562,9673,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,true,true
2023-05-16,24159,1597,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-05-17,22721,1438,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-05-18,21967,754,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-19,19746,2221,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-20,13655,6091,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-21,14251,596,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-22,24773,10522,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,true,false,true,true,true
2023-05-23,23249,1524,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-05-24,23030,219,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-05-25,22641,389,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-05-26,19873,2768,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-27,14116,5757,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-28,14501,385,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-29,17554,3053,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-30,22232,4678,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-05-31,22627,395,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-01,22051,576,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-02,19383,2668,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-03,13696,5687,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-04,14319,623,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-05,21149,6830,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-06,22851,1702,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-07,21538,1313,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-08,20660,878,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-09,19065,1595,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-10,13351,5714,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-11,13736,385,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-12,20528,6792,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-13,21669,1141,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-14,21543,126,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-15,20987,556,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-16,18853,2134,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-17,13492,5361,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-18,14390,898,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-19,20572,6182,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-20,21370,798,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-21,23194,1824,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-22,22113,1081,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-23,19396,2717,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-24,13526,5870,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-25,14655,1129,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-26,22600,7945,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-27,21111,1489,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-28,20849,262,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-29,20195,654,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-06-30,18563,1632,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-01,22721,4158,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-07-02,13427,9294,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,true,true
2023-07-03,17655,4228,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-04,16754,901,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-05,18804,2050,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-06,19206,402,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-07,26447,7241,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,true,false,true,false,true
2023-07-08,12950,13497,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,true,true
2023-07-09,13370,420,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-07-10,19108,5738,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-11,19765,657,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-12,19277,488,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-13,28430,9153,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,true,false,false,true,true
2023-07-14,17334,11096,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,true,true
2023-07-15,12821,4513,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-16,13673,852,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-17,19785,6112,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-18,20809,1024,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-19,19506,1303,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-20,16343,3163,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-21,16376,33,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-22,11146,5230,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,true,false,true,false,true
2023-07-23,11022,124,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,true,false,true,false,true
2023-07-24,15920,4898,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-25,20598,4678,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-26,19573,1025,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-27,19407,166,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-28,18894,513,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-29,15741,3153,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-30,14846,895,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-07-31,19188,4342,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-01,29046,9858,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,true,false,false,true,true
2023-08-02,19754,9292,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,true,true
2023-08-03,20144,390,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-04,18760,1384,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-05,14379,4381,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-06,15294,915,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-07,20363,5069,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-08,20823,460,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-09,20673,150,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-10,20694,21,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-11,18264,2430,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-12,14211,4053,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-13,14775,564,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-14,19923,5148,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-15,20574,651,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-16,20724,150,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-17,19882,842,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-18,18415,1467,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-19,13315,5100,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-20,13558,243,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-21,19623,6065,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-22,20262,639,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-23,20305,43,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-24,20343,38,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-25,18611,1732,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-08-26,13077,5534,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
